no	state	constituency	nameofelectedmp	partyaffiliation
279	Maharashtra	Hatkanangle	Dhairyashil Mane	Shiv Sena
280	Manipur	Inner Manipur	Rajkumar Ranjan Singh	Bharatiya Janata Party
281	Manipur	Outer Manipur	Lorho S. Pfoze	Naga People's Front
282	Meghalya	Shillong	Vincent Pala	Indian National Congress
283	Meghalya	Tura	Agatha Sangma	National People's Party
284	Mizoram	Mizoram	C. Lalrosanga	Mizo National Front
285	Nagaland	Nagaland	Tokheho Yepthomi	Nationalist Democratic Progressive Party
286	Odisha	Bargarh	Suresh Pujari	Bharatiya Janata Party
287	Odisha	Sundargarh	Jual Oram	Bharatiya Janata Party
288	Odisha	Sambalpur	Nitesh Gangadev	Bharatiya Janata Party
289	Odisha	Keonjhar	Chandrani Murmu	Biju Janata Dal
290	Odisha	Mayurbhanj	Bishweswar Tudu	Bharatiya Janata Party
291	Odisha	Balasore	Pratap Chandra Sarangi	Bharatiya Janata Party
292	Odisha	Bhadrak	Manjulata Mandal	Biju Janata Dal
293	Odisha	Jajpur	Sarmistha Sethi	Biju Janata Dal
294	Odisha	Dhenkanal	Mahesh Sahoo	Biju Janata Dal
295	Odisha	Bolangir	Sangeeta Kumari	Bharatiya Janata Party
296	Odisha	Kalahandi	Basanta Kumar Panda	Bharatiya Janata Party
297	Odisha	Nabarangpur	Ramesh Chandra Majhi	Biju Janata Dal
298	Odisha	Kandhamal	Achyutananda Samanta	Biju Janata Dal
299	Odisha	Cuttack	Bhartruhari Mahtab	Biju Janata Dal
300	Odisha	Kendrapara	Anubhav Mohanty	Biju Janata Dal
301	Odisha	Jagatsinghpur	Rajashree Mallick	Biju Janata Dal
302	Odisha	Puri	Pinaki Mishra	Biju Janata Dal
303	Odisha	Bhubaneswar	Aparajita Sarangi	Bharatiya Janata Party
304	Odisha	Aska	Pramila Bisoyi	Biju Janata Dal
305	Odisha	Berhampur	Chandra Sekhar Sahu	Biju Janata Dal
306	Odisha	Koraput	Saptagiri Sankar Ulaka	Indian National Congress
307	Punjab	Gurdaspur	Sunny Deol	Bharatiya Janata Party
308	Punjab	Amritsar	Gurjeet Singh Aujla	Indian National Congress
309	Punjab	Khadoor Sahib	Jasbir Singh Gill	Indian National Congress
310	Punjab	Jalandhar	Santokh Singh Chaudhary	Indian National Congress
311	Punjab	Hoshiarpur	Som Prakash	Bharatiya Janata Party
312	Punjab	Anandpur Sahib	Manish Tewari	Indian National Congress
313	Punjab	Ludhiana	Ravneet Singh Bittu	Indian National Congress
314	Punjab	Fatehgarh Sahib	Amar Singh	Indian National Congress
315	Punjab	Faridkot	Muhammad Sadiq	Indian National Congress
316	Punjab	Ferozpur	Sukhbir Singh Badal	Shiromani Akali Dal
317	Punjab	Bathinda	Harsimrat Kaur Badal	Shiromani Akali Dal
318	Punjab	Sangrur	Bhagwant Mann	Aam Aadmi Party
319	Punjab	Patiala	Preneet Kaur	Indian National Congress
320	Rajasthan	Ganganagar	Nihalchand	Bharatiya Janata Party
321	Rajasthan	Bikaner	Arjun Ram Meghwal	Bharatiya Janata Party
322	Rajasthan	Churu	Rahul Kaswan	Bharatiya Janata Party
323	Rajasthan	Jhunjhunu	Narendra Kumar	Bharatiya Janata Party
324	Rajasthan	Sikar	Sumedhanand Saraswati	Bharatiya Janata Party
325	Rajasthan	Jaipur Rural	Rajyavardhan Singh Rathore	Bharatiya Janata Party
326	Rajasthan	Jaipur	Ramcharan Bohara	Bharatiya Janata Party
327	Rajasthan	Alwar	Balak Nath	Bharatiya Janata Party
328	Rajasthan	Bharatpur	Ranjeeta Koli	Bharatiya Janata Party
329	Rajasthan	Karauli–Dholpur	Manoj Rajoria	Bharatiya Janata Party
330	Rajasthan	Dausa	Jaskaur Meena	Bharatiya Janata Party
331	Rajasthan	Tonk–Sawai Madhopur	Sukhbir Singh Jaunapuria	Bharatiya Janata Party
332	Rajasthan	Ajmer	Bhagirath Choudhary	Bharatiya Janata Party
333	Rajasthan	Nagaur	Hanuman Beniwal	Rashtriya Loktantrik Party
334	Rajasthan	Pali	P. P. Chaudhary	Bharatiya Janata Party
335	Rajasthan	Jodhpur	Gajendra Singh Shekhawat	Bharatiya Janata Party
336	Rajasthan	Barmer	Kailash Choudhary	Bharatiya Janata Party
337	Rajasthan	Jalore	Devaji Patel	Bharatiya Janata Party
338	Rajasthan	Udaipur	Arjun Lal Meena	Bharatiya Janata Party
339	Rajasthan	Banswara	Kanak Mal Katara	Bharatiya Janata Party
340	Rajasthan	Chittorgarh	Chandra Prakash Joshi	Bharatiya Janata Party
341	Rajasthan	Rajsamand	Diya Kumari	Bharatiya Janata Party
342	Rajasthan	Bhilwara	Subhash Chandra Baheria	Bharatiya Janata Party
343	Rajasthan	Kota	Om Birla	Bharatiya Janata Party
344	Rajasthan	Jhalawar	Dushyant Singh	Bharatiya Janata Party
345	Sikkim	Sikkim	Indra Hang Subba	Sikkim Krantikari Morcha
346	Tamil Nadu	Thiruvallur	K. Jeyakumar	Indian National Congress
347	Tamil Nadu	Chennai North	Kalanidhi Veeraswamy	Dravida Munnetra Kazhagam
348	Tamil Nadu	Chennai South	Thamizhachi Thangapandian	Dravida Munnetra Kazhagam
349	Tamil Nadu	Chennai Central	Dayanidhi Maran	Dravida Munnetra Kazhagam
350	Tamil Nadu	Sriperumbudur	T. R. Baalu	Dravida Munnetra Kazhagam
351	Tamil Nadu	Kancheepuram	G. Selvam	Dravida Munnetra Kazhagam
352	Tamil Nadu	Arakkonam	S. Jagathrakshakan	Dravida Munnetra Kazhagam
353	Tamil Nadu	Vellore	D. M. Kathir Anand	Dravida Munnetra Kazhagam
354	Tamil Nadu	Krishnagiri	A. Chellakumar	Indian National Congress
355	Tamil Nadu	Dharmapuri	S. Senthil Kumar	Dravida Munnetra Kazhagam
356	Tamil Nadu	Tiruvannamalai	Annadurai C N	Dravida Munnetra Kazhagam
357	Tamil Nadu	Arani	M. K. Vishnu Prasad	Indian National Congress
358	Tamil Nadu	Viluppuram	D. Ravikumar	Dravida Munnetra Kazhagam (VCK)
359	Tamil Nadu	Kallakurichi	Gautam Sigamani	Dravida Munnetra Kazhagam
360	Tamil Nadu	Salem	S. R. Parthiban	Dravida Munnetra Kazhagam
361	Tamil Nadu	Namakkal	A. K. P. Chinraj	Dravida Munnetra Kazhagam (KMDK)
362	Tamil Nadu	Erode	A. Ganeshamurthi	Dravida Munnetra Kazhagam (MDMK)
363	Tamil Nadu	Tiruppur	K. Subbarayan	Communist Party of India
364	Tamil Nadu	Nilgiris	A. Raja	Dravida Munnetra Kazhagam
365	Tamil Nadu	Coimbatore	P. R. Natarajan	Communist Party of India (Marxist)
366	Tamil Nadu	Pollachi	K. Shamugasundaram	Dravida Munnetra Kazhagam
367	Tamil Nadu	Dindigul	P. Veluchamy	Dravida Munnetra Kazhagam
368	Tamil Nadu	Karur	Jothimani	Indian National Congress
369	Tamil Nadu	Tiruchirappalli	Subburaman Thirunavukkarasar	Indian National Congress
370	Tamil Nadu	Perambalur	T. R. Paarivendhar	Dravida Munnetra Kazhagam (IJK)
371	Tamil Nadu	Cuddalore	T. R. V. S. Ramesh	Dravida Munnetra Kazhagam
372	Tamil Nadu	Chidambaram	Thol. Thirumavalavan	Viduthalai Chiruthaigal Katchi
373	Tamil Nadu	Mayiladuthurai	S. Ramalingam	Dravida Munnetra Kazhagam
374	Tamil Nadu	Nagapattinam	M. Selvaraj	Communist Party of India
375	Tamil Nadu	Thanjavur	S. S. Palanimanickam	Dravida Munnetra Kazhagam
376	Tamil Nadu	Sivaganga	Karti Chidambaram	Indian National Congress
377	Tamil Nadu	Madurai	S. Venkatesan	Communist Party of India (Marxist)
378	Tamil Nadu	Theni	P. Raveendranath Kumar	All India Anna Dravida Munnetra Kazhagam
379	Tamil Nadu	Virudhunagar	Manicka Tagore	Indian National Congress
380	Tamil Nadu	Ramanathapuram	Navaskani	Indian Union Muslim League
381	Tamil Nadu	Thoothukkudi	Kanimozhi	Dravida Munnetra Kazhagam
382	Tamil Nadu	Tenkasi	Dhanush M. Kumar	Dravida Munnetra Kazhagam
383	Tamil Nadu	Tirunelveli	S. Gnanathiraviam	Dravida Munnetra Kazhagam
384	Tamil Nadu	Kanyakumari	H. Vasanthakumar	Indian National Congress
385	Telangana	Adilabad	Soyam Bapu Rao	Bharatiya Janata Party
386	Telangana	Peddapalle	Venkatesh Netha Borlakunta	Telangana Rashtra Samithi
387	Telangana	Karimnagar	Bandi Sanjay Kumar	Bharatiya Janata Party
388	Telangana	Nizamabad	Arvind Dharmapuri	Bharatiya Janata Party
389	Telangana	Zahirabad	B. B. Patil	Telangana Rashtra Samithi
390	Telangana	Medak	Kotha Prabhakar Reddy	Telangana Rashtra Samithi
391	Telangana	Malkajgiri	Revanth Reddy	Indian National Congress
392	Telangana	Secunderabad	G. Kishan Reddy	Bharatiya Janata Party
393	Telangana	Hyderabad	Asaduddin Owaisi	All India Majlis-e-Ittehadul Muslimeen
394	Telangana	Chevella	G. Ranjith Reddy	Telangana Rashtra Samithi
395	Telangana	Mahbubnagar	Manne Srinivas Reddy	Telangana Rashtra Samithi
396	Telangana	Nagarkurnool	Pothuganti Ramulu	Telangana Rashtra Samithi
397	Telangana	Nalgonda	Nalamada Uttam Kumar Reddy	Indian National Congress
398	Telangana	Bhongir	Komatireddy Venkat Reddy	Indian National Congress
399	Telangana	Warangal	Pasunuri Dayakar	Telangana Rashtra Samithi
400	Telangana	Mahabubabad	Kavitha Maloth	Telangana Rashtra Samithi
401	Telangana	Khammam	Nama Nageswara Rao	Telangana Rashtra Samithi
402	Tripura	Tripura West	Pratima Bhoumik	Bharatiya Janata Party
403	Tripura	Tripura East	Rebati Tripura	Bharatiya Janata Party
404	Uttar Pradesh	Saharanpur	Haji Fazlur Rehman	Bahujan Samaj Party
405	Uttar Pradesh	Kairana	Pradeep Kumar Choudhary	Bharatiya Janata Party
406	Uttar Pradesh	Muzaffarnagar	Sanjeev Kumar Balyan	Bharatiya Janata Party
407	Uttar Pradesh	Bijnor	Malook Nagar	Bahujan Samaj Party
408	Uttar Pradesh	Nagina	Girish Chandra	Bahujan Samaj Party
409	Uttar Pradesh	Moradabad	S. T. Hasan	Samajwadi Party
410	Uttar Pradesh	Rampur	Azam Khan	Samajwadi Party
411	Uttar Pradesh	Sambhal	Shafiqur Rehman Barq	Samajwadi Party
412	Uttar Pradesh	Amroha	Kunwar Danish Ali	Bahujan Samaj Party
413	Uttar Pradesh	Meerut	Rajendra Agrawal	Bharatiya Janata Party
414	Uttar Pradesh	Baghpat	Satya Pal Singh	Bharatiya Janata Party
415	Uttar Pradesh	Ghaziabad	V. K. Singh	Bharatiya Janata Party
416	Uttar Pradesh	Gautam Buddh Nagar	Mahesh Sharma	Bharatiya Janata Party
417	Uttar Pradesh	Bulandshahr	Bhola Singh	Bharatiya Janata Party
418	Uttar Pradesh	Aligarh	Satish Kumar Gautam	Bharatiya Janata Party
419	Uttar Pradesh	Hathras	Rajvir Singh Diler	Bharatiya Janata Party
420	Uttar Pradesh	Mathura	Hema Malini	Bharatiya Janata Party
421	Uttar Pradesh	Agra	Satya Pal Singh Baghel	Bharatiya Janata Party
422	Uttar Pradesh	Fatehpur Sikri	Rajkumar Chahar	Bharatiya Janata Party
423	Uttar Pradesh	Firozabad	Chandrasen Jadon	Bharatiya Janata Party
424	Uttar Pradesh	Mainpuri	Mulayam Singh Yadav	Samajwadi Party
425	Uttar Pradesh	Etah	Rajveer Singh	Bharatiya Janata Party
426	Uttar Pradesh	Badaun	Sanghmitra Maurya	Bharatiya Janata Party
427	Uttar Pradesh	Aonla	Dharmendra Kashyap	Bharatiya Janata Party
428	Uttar Pradesh	Bareilly	Santosh Kumar Gangwar	Bharatiya Janata Party
429	Uttar Pradesh	Pilibhit	Varun Gandhi	Bharatiya Janata Party
430	Uttar Pradesh	Shahjahanpur	Arun Kumar Sagar	Bharatiya Janata Party
431	Uttar Pradesh	Kheri	Ajay Kumar Mishra	Bharatiya Janata Party
432	Uttar Pradesh	Dhaurahra	Rekha Verma	Bharatiya Janata Party
433	Uttar Pradesh	Sitapur	Rajesh Verma	Bharatiya Janata Party
434	Uttar Pradesh	Hardoi	Jai Prakash Rawat	Bharatiya Janata Party
435	Uttar Pradesh	Misrikh	Ashok Kumar Rawat	Bharatiya Janata Party
436	Uttar Pradesh	Unnao	Sakshi Maharaj	Bharatiya Janata Party
437	Uttar Pradesh	Mohanlalganj	Kaushal Kishore	Bharatiya Janata Party
438	Uttar Pradesh	Lucknow	Rajnath Singh	Bharatiya Janata Party
439	Uttar Pradesh	Raebareli	Sonia Gandhi	Indian National Congress
440	Uttar Pradesh	Amethi	Smriti Irani	Bharatiya Janata Party
441	Uttar Pradesh	Sultanpur	Maneka Gandhi	Bharatiya Janata Party
442	Uttar Pradesh	Pratapgarh	Sangam Lal Gupta	Bharatiya Janata Party
443	Uttar Pradesh	Farrukhabad	Mukesh Rajput	Bharatiya Janata Party
444	Uttar Pradesh	Etawah	Ram Shankar Katheria	Bharatiya Janata Party
445	Uttar Pradesh	Kannauj	Subrat Pathak	Bharatiya Janata Party
446	Uttar Pradesh	Kanpur	Satyadev Pachauri	Bharatiya Janata Party
447	Uttar Pradesh	Akbarpur	Devendra Singh Bhole	Bharatiya Janata Party
448	Uttar Pradesh	Jalaun	Bhanu Pratap Singh Verma	Bharatiya Janata Party
449	Uttar Pradesh	Jhansi	Anurag Sharma	Bharatiya Janata Party
450	Uttar Pradesh	Hamirpur	Pushpendra Singh Chandel	Bharatiya Janata Party
451	Uttar Pradesh	Banda	R. K. Singh Patel	Bharatiya Janata Party
452	Uttar Pradesh	Fatehpur	Niranjan Jyoti	Bharatiya Janata Party
453	Uttar Pradesh	Kaushambi	Vinod Kumar Sonkar	Bharatiya Janata Party
454	Uttar Pradesh	Phulpur	Keshari Devi Patel	Bharatiya Janata Party
455	Uttar Pradesh	Allahabad	Rita Bahuguna Joshi	Bharatiya Janata Party
456	Uttar Pradesh	Barabanki	Upendra Singh Rawat	Bharatiya Janata Party
457	Uttar Pradesh	Faizabad	Lallu Singh	Bharatiya Janata Party
458	Uttar Pradesh	Ambedkar Nagar	Ritesh Pandey	Bahujan Samaj Party
459	Uttar Pradesh	Bahraich	Akshaibar Lal	Bharatiya Janata Party
460	Uttar Pradesh	Kaiserganj	Brij Bhushan Sharan Singh	Bharatiya Janata Party
461	Uttar Pradesh	Shrawasti	Ram Shiromani Verma	Bahujan Samaj Party
462	Uttar Pradesh	Gonda	Kirti Vardhan Singh	Bharatiya Janata Party
463	Uttar Pradesh	Domariyaganj	Jagdambika Pal	Bharatiya Janata Party
464	Uttar Pradesh	Basti	Harish Dwivedi	Bharatiya Janata Party
465	Uttar Pradesh	Sant Kabir Nagar	Praveen Kumar Nishad	Bharatiya Janata Party
466	Uttar Pradesh	Maharajganj	Pankaj Choudhary	Bharatiya Janata Party
467	Uttar Pradesh	Gorakhpur	Ravi Kishan	Bharatiya Janata Party
468	Uttar Pradesh	Kushi Nagar	Vijay Kumar Dubey	Bharatiya Janata Party
469	Uttar Pradesh	Deoria	Ramapati Ram Tripathi	Bharatiya Janata Party
470	Uttar Pradesh	Bansgaon	Kamlesh Paswan	Bharatiya Janata Party
471	Uttar Pradesh	Lalganj	Sangeeta Azad	Bahujan Samaj Party
472	Uttar Pradesh	Azamgarh	Akhilesh Yadav	Samajwadi Party
473	Uttar Pradesh	Ghosi	Atul Rai	Bahujan Samaj Party
474	Uttar Pradesh	Salempur	Ravindra Kushawaha	Bharatiya Janata Party
475	Uttar Pradesh	Ballia	Virendra Singh Mast	Bharatiya Janata Party
476	Uttar Pradesh	Jaunpur	Shyam Singh Yadav	Bahujan Samaj Party
477	Uttar Pradesh	Machhlishahr	B. P. Saroj	Bharatiya Janata Party
478	Uttar Pradesh	Ghazipur	Afzal Ansari	Bahujan Samaj Party
479	Uttar Pradesh	Chandauli	Mahendra Nath Pandey	Bharatiya Janata Party
480	Uttar Pradesh	Varanasi	Narendra Modi	Bharatiya Janata Party
481	Uttar Pradesh	Bhadohi	Ramesh Chand Bind	Bharatiya Janata Party
482	Uttar Pradesh	Mirzapur	Anupriya Patel	Apna Dal (Sonelal)
483	Uttar Pradesh	Robertsganj	Pakauri Lal	Apna Dal (Sonelal)
484	Uttarakhand	Tehri Garhwal	Mala Rajya Laxmi Shah	Bharatiya Janata Party
485	Uttarakhand	Garhwal	Tirath Singh Rawat	Bharatiya Janata Party
486	Uttarakhand	Almora	Ajay Tamta	Bharatiya Janata Party
487	Uttarakhand	Nainital–Udhamsingh Nagar	Ajay Bhatt	Bharatiya Janata Party
488	Uttarakhand	Haridwar	Ramesh Pokhriyal	Bharatiya Janata Party
489	West Bengal	Cooch Behar	Nisith Pramanik	Bharatiya Janata Party
490	West Bengal	Alipurduars	John Barla	Bharatiya Janata Party
491	West Bengal	Jalpaiguri	Jayanta Kumar Roy	Bharatiya Janata Party
492	West Bengal	Darjeeling	Raju Bista	Bharatiya Janata Party
493	West Bengal	Raiganj	Debasree Chaudhuri	Bharatiya Janata Party
494	West Bengal	Balurghat	Sukanta Majumder	Bharatiya Janata Party
495	West Bengal	Maldaha Uttar	Khagen Murmu	Bharatiya Janata Party
496	West Bengal	Maldaha Dakshin	Abu Hasem Khan Choudhury	Indian National Congress
497	West Bengal	Jangipur	Khalilur Rahman	All India Trinamool Congress
498	West Bengal	Berhampore	Adhir Ranjan Chowdhury	Indian National Congress
499	West Bengal	Murshidabad	Abu Taher Khan	All India Trinamool Congress
500	West Bengal	Krishnanagar	Mahua Moitra	All India Trinamool Congress
501	West Bengal	Ranaghat	Jagannath Sarkar	Bharatiya Janata Party
502	West Bengal	Bangaon	Shantanu Thakur	Bharatiya Janata Party
503	West Bengal	Barrackpore	Arjun Singh	Bharatiya Janata Party
504	West Bengal	Dum Dum	Saugata Roy	All India Trinamool Congress
505	West Bengal	Barasat	Kakali Ghosh Dastidar	All India Trinamool Congress
506	West Bengal	Basirhat	Nusrat Jahan	All India Trinamool Congress
507	West Bengal	Jaynagar	Pratima Mondal	All India Trinamool Congress
508	West Bengal	Mathurapur	Choudhury Mohan Jatua	All India Trinamool Congress
509	West Bengal	Diamond Harbour	Abhishek Banerjee	All India Trinamool Congress
510	West Bengal	Jadavpur	Mimi Chakraborty	All India Trinamool Congress
511	West Bengal	Kolkata Dakshin	Mala Roy	All India Trinamool Congress
512	West Bengal	Kolkata Uttar	Sudip Bandyopadhyay	All India Trinamool Congress
513	West Bengal	Howrah	Prasun Banerjee	All India Trinamool Congress
514	West Bengal	Uluberia	Sajda Ahmed	All India Trinamool Congress
515	West Bengal	Srerampur	Kalyan Banerjee	All India Trinamool Congress
516	West Bengal	Hooghly	Locket Chatterjee	Bharatiya Janata Party
517	West Bengal	Arambagh	Aparupa Poddar	All India Trinamool Congress
518	West Bengal	Tamluk	Dibyendu Adhikari	All India Trinamool Congress
519	West Bengal	Kanthi	Sisir Adhikari	All India Trinamool Congress
520	West Bengal	Ghatal	Deepak Adhikari (Dev)	All India Trinamool Congress
521	West Bengal	Jhargram	Kunar Hembram	Bharatiya Janata Party
522	West Bengal	Medinipur	Dilip Ghosh	Bharatiya Janata Party
523	West Bengal	Purulia	Jyotirmoy Singh Mahato	Bharatiya Janata Party
524	West Bengal	Bankura	Subhash Sarkar	Bharatiya Janata Party
525	West Bengal	Bishnupur	Saumitra Khan	Bharatiya Janata Party
526	West Bengal	Bardhaman Purba	Sunil Kumar Mondal	All India Trinamool Congress
527	West Bengal	Bardhaman–Durgapur	S. S. Ahluwalia	Bharatiya Janata Party
528	West Bengal	Asansol	Babul Supriyo	Bharatiya Janata Party
529	West Bengal	Bolpur	Asit Kumar Mal	All India Trinamool Congress
530	West Bengal	Birbhum	Shatabdi Roy	All India Trinamool Congress
531	Andaman and Nicobar Islands	Andaman and Nicobar Islands	Kuldeep Rai Sharma	Indian National Congress
532	Chandigarh	Chandigarh	Kirron Kher	Bharatiya Janata Party
533	Dadra and Nagar Haveli	Dadra and Nagar Haveli	Mohanbhai Sanjibhai Delkar	Independent
534	Daman and Diu	Daman and Diu	Lalubhai Patel	Bharatiya Janata Party
535	NCT of Delhi	Chandni Chowk	Harsh Vardhan	Bharatiya Janata Party
536	NCT of Delhi	North East Delhi	Manoj Tiwari	Bharatiya Janata Party
537	NCT of Delhi	East Delhi	Gautam Gambhir	Bharatiya Janata Party
538	NCT of Delhi	New Delhi	Meenakshi Lekhi	Bharatiya Janata Party
539	NCT of Delhi	North West Delhi	Hans Raj Hans	Bharatiya Janata Party
540	NCT of Delhi	West Delhi	Parvesh Verma	Bharatiya Janata Party
541	NCT of Delhi	South Delhi	Ramesh Bidhuri	Bharatiya Janata Party
542	Lakshadweep	Lakshadweep	Mohammed Faizal P. P.	Nationalist Congress Party
543	Puducherry	Puducherry	V. Vaithilingam	Indian National Congress
